lesson,group,word,meaning
12,naA,かんたん［な］,easy
12,iA,ちがい,near
12,iA,とおい,far
12,iA,はやい,"fast, early"
12,iA,おそい,"slow, late"
12,iA,おおい［ひとが～］,"many [people], much"
12,iA,すくない　［ひとが～］,"few [people], a little"
12,iA,あたたかい,warm
12,iA,すずしい,cool
12,iA,あまい,sweet
12,iA,からい,"hot (taste), spicy"
12,iA,おもい,heavy
12,iA,かるい,light
12,iA,いい［コーヒーが～］,prefer [coffee]
12,N,きせつ,season
12,N,はる,spring
12,N,なつ,summer
12,N,あき,"autumn, fall"
12,N,ふゆ,winter
12,N,てんき,weather
12,N,あめ,"rain, rainy"
12,N,ゆき,"snow, snowy"
12,N,くもり,cloudy
12,N,ホテル,hotel
12,N,くうこう,airport
12,N,うみ,"sea, ocean"
12,N,せかい,world
12,N,パーティー,party
12,N,［お］まつり,festival
12,N,すきやき,sukiyaki (beef and vegetable hot pot)
12,N,さしみ,sashimi (sliced raw fish)
12,N,てんぷら,tempura (seafood and vegetables deep fried in batter)
12,N,ぶたにく,pork
12,N,とりにく,chicken
12,N,ぎゅうにく,beef
12,N,レモン,lemon
12,N,いけばな,flower arrangement
12,N,もみじ,"maple, red leaves of autumn"
12,Adv,どちら,which one (of two things)
12,N,どちらも,both
12,N,いちばん,the most
12,N,ずっと,by far
12,N,はじめて,for the first time
19,V1,のぼります,"climb, go up"
19,V1,とまります［ホテルに～］,stay [at a hotel]
19,V3,そうじします,clean (a room)
19,V3,せんたくします,wash (clothes)
19,V1,なります,become
19,iA,ねむい,sleepy
19,iA,つよい,strong
19,iA,よわい,weak
19,N,れんしゅう,practice
19,N,ゴルフ,golf
19,N,すもう,sumo wrestling
19,N,おちゃ,tea ceremony
19,N,ひ,day
19,N,ちょうし,condition
19,Adv,いちど,once
19,Adv,いちども,"not once, never (used with negatives)"
19,Adv,だんだん,gradually
19,Adv,もうすぐ,soon
19,Phrase,おかげさます,Thank you (for help received)
19,Conj,でも,but
20,V1,いります ［ビザが～］,"need, require [a visa]"
20,V2,しらべます,"check, investigate"
20,V3,しゅうりします,repair
20,N,ことば,"word, language"
20,N,はじめ,the beginning
20,N,おわり,the end
20,Conj,～けど,but (informal form of が)
20,Phrase,よかったら,if you like
20,naA,いろいろ,various
21,V1,おもいます,think
21,V1,いいます,say
21,V1,かちます,win
21,V2,まけます,"lose, be beaten"
21,V1,あります　［おまつりが～］,"[a festival] be held, take place"
21,V1,やくにたちます,be useful
21,V1,うごきます,"move, work"
21,V2,やめます　［かいしゃを～］,"quit or retire from [a company], stop, give up"
21,V2,りゅうがこします,study abroad
21,naA,むだ,wasteful
21,naA,ふべん,inconvenient
21,iA,すごい,"awful, great"
21,N,ほんとう,true
21,N,うそ,lie
21,N,うそき,liar
21,N,じどうしゃ,"car, automobile"
21,N,こうつう,"transport, traffic"
21,N,ぶっか,[commodity] prices
21,N,ほうそう,"announcement, broadcast"
21,N,ニュース,news
21,N,アニメ,anime
21,N,マンガ,manga
