group,ます-form,dictionary form,て-form,ない-form,た-form,meaning,lesson
I,あいます,あう,あって,あわない,あった,meet (a friend),6
I,あそびます,あそぶ,あそんで,あそばない,あそんだ,"enjoy oneself, play",13
I,あらいます,あらう,あらって,あらわない,あらった,wash,18
I,あります,ある,あって,ない,あった,have,18
I,あります,ある,あって,ない,あった,"exist, be (referring to inanimate things)",9
I,あります,ある,あって,ない,あった,"(a festival) be held, take place",10
I,あるきます,あるく,あるいて,あるかない,あるいた,walk,21
I,いいます,いう,いって,いわない,いった,say,23
I,いきます,いく,いって,いかない,いった,go,21
I,いそぎます,いそぐ,いそいで,いそがない,いそいだ,hurry,5
I,いります,いる,いって,いらない,いった,"need, require (a visa)",14
I,うごきます,うごく,うごいて,うごかない,うごいた,"move, work",20
I,うたいます,うたう,うたって,うたわない,うたった,sing,21
I,うります,うる,うって,うらない,うった,sell,18
I,おきます,おく,おいて,おかない,おいた,put,15
I,おくります,おくる,おくって,おくらない,おくった,send,15
I,おくります,おくる,おくって,おくらない,おくった,"escort (someone), go with",7
I,おします,おす,おして,おさない,おした,"push, press",24
I,おもいだします,おもいだす,おもいだして,おもいださない,おもいだした,"remember, recollect",16
I,おもいます,おもう,おもって,おもわない,おもった,think,15
I,およぎます,およぐ,およいで,およがない,およいだ,swim,21
I,おろします,おろす,おろして,おろさない,おろした,withdraw,13
I,おわります,おわる,おわって,おわらない,おわった,finish,16
I,かいます,かう,かって,かわない,かった,buy,4
I,かえします,かえす,かえして,かえさない,かえした,"give back, return",6
I,かえります,かえる,かえって,かえらない,かえった,"go home, return",5
I,かかります,かかる,かかって,かからない,かかった,"take, cost (referring to time or money)",11
I,かきます,かく,かいて,かかない,かいた,"write, draw, paint",6
I,かします,かす,かして,かさない,かした,lend,7
I,かちます,かつ,かって,かたない,かった,win,21
I,かぶります,かぶる,かぶって,かぶらない,かぶった,"put on (a hat, etc.)",22
I,がんばります,がんばる,がんばって,がんばらない,がんばった,do one's best,25
I,ききます,きく,きいて,きかない,きいた,"hear, listen",6
I,ききます,きく,きいて,きかない,きいた,ask (the teacher),23
I,きります,きる,きって,きらない,きった,"cut, slice",7
I,けします,けす,けして,けさない,けした,turn off,14
I,さわります,さわる,さわって,さわらない,さわった,touch (a door),23
I,しります,しる,しって,しらない,しった,get to know,15
I,すいます,すう,すって,すわない,すった,smoke (a cigarette),15
I,すみます,すむ,すんで,すまない,すんだ,be going to live,6
I,すわります,すわる,すわって,すわらない,すわった,sit down,15
I,だします,だす,だして,ださない,だした,"take out, hand in, send",14
I,たちます,たつ,たって,たたない,たった,stand up,16
I,つかいます,つかう,つかって,つかわない,つかった,use,14
I,つきます,つく,ついて,つかない,ついた,arrive,14
I,つくります,つくる,つくって,つくらない,つくった,"make, produce",25
I,つれていきます,つれていく,つれていって,つれていかない,つれていった,take (someone),15
I,てつだいます,てつだう,てつだって,てつだわない,てつだった,help (with a task),24
I,とまります,とまる,とまって,とまらない,とまった,stay (at a hotel),14
I,とります,とる,とって,とらない,とった,"take, pass",19
I,とります,とる,とって,とらない,とった,take (a photograph),14
I,とります,とる,とって,とらない,とった,grow old,6
I,なおします,なおす,なおして,なおさない,なおした,"repair, correct",25
I,なくします,なくす,なくして,なくさない,なくした,lose,24
I,ならいます,ならう,ならって,ならわない,ならった,learn,17
I,なります,なる,なって,ならない,なった,become,7
I,ぬぎます,ぬぐ,ぬいで,ぬがない,ぬいだ,"take off (clothes, shoes, etc.)",19
I,のぼります,のぼる,のぼって,のぼらない,のぼった,"climb, go up",17
I,のみます,のむ,のんで,のまない,のんだ,drink,19
I,のみます,のむ,のんで,のまない,のんだ,drink alcohol,6
I,のみます,のむ,のんで,のまない,のんだ,take (medicine),16
I,のります,のる,のって,のらない,のった,"ride, get on (a train)",17
